ID_Num,winner_x,winner_y
1,0,0
2,0,1
3,1,1
4,1,0
5,0,0
6,0,0
8,0,0
9,1,0
10,0,1
11,1,1
12,0,0
13,1,2
14,0,0
15,0,0
16,0,1
17,0,0
18,0,2
19,0,0
20,1,2
21,1,2
22,0,1
23,0,1
24,0,1
26,0,0
28,0,0
29,0,0
30,1,0
31,1,1
32,0,1
33,0,1
34,0,1
35,1,2
36,1,2
37,0,2
38,1,2
39,1,1
40,0,0
42,1,1
43,1,0
45,0,0
46,0,1
47,1,1
48,1,1
49,0,0
50,0,0
51,0,0
52,0,0
53,1,2
54,1,2
55,0,0
57,0,0
58,1,0
59,0,0
60,0,0
61,1,2
62,1,0
63,0,0
64,0,0
65,0,1
66,0,0
67,0,2
68,1,2
69,0,2
70,1,2
71,1,1
72,0,0
73,0,0
74,1,0
75,0,0
76,0,2
77,0,1
78,0,0
79,1,1
80,0,1
81,1,0
83,0,0
84,0,0
85,0,1
87,0,1
90,1,0
91,1,0
92,1,1
93,1,0
94,1,1
96,0,1
97,0,1
98,0,0
99,0,0
100,1,1
101,1,0
200,1,1
201,1,1
202,1,0
203,0,0
204,1,0
205,0,0
206,0,0
207,1,0
208,0,2
209,0,0
210,1,0
211,0,0
212,1,1
213,1,0
214,1,1
215,1,2
216,0,1
217,0,0
218,1,0
220,0,0
221,0,0
222,0,0
223,0,1
224,1,0
225,0,1
226,0,1
227,1,0
228,1,2
229,1,0
230,0,1
231,0,0
232,0,0
233,1,1
234,0,2
235,0,2
236,1,1
237,1,1
239,0,0
240,0,1
241,1,2
242,1,0
243,1,0
244,1,0
245,0,1
246,0,2
247,1,0
248,1,1
249,1,0
250,0,0
251,0,1
252,1,0
253,1,1
254,1,0
255,0,1
256,0,0
257,0,1
258,1,2
259,0,0
260,0,0
261,0,0
262,1,1
263,0,1
264,0,1
265,1,1
266,0,0
267,1,2
268,1,2
269,1,1
270,1,1
271,0,0
273,1,1
274,1,0
275,0,0
276,1,0
277,0,0
279,1,0
280,0,0
281,0,0
282,0,0
283,1,1
284,0,0
285,0,1
286,1,0
287,0,0
288,0,0
289,1,2
290,0,1
291,1,0
292,0,0
293,1,1
294,1,0
295,0,0
296,1,0
297,0,0
298,0,0
299,1,0
300,1,1
301,0,0
302,0,1
303,0,0
304,0,1
400,1,2
401,1,2
403,0,2
404,0,2
405,1,0
406,1,0
407,0,0
408,1,2
409,0,2
410,0,2
411,1,2
412,0,2
413,0,1
414,0,1
415,0,2
416,1,2
417,0,2
418,0,1
419,1,1
420,1,0
421,1,0
422,1,1
423,1,2
424,1,2
425,1,2
426,1,2
427,1,2
428,1,1
430,0,2
431,1,2
432,1,2
433,0,1
434,0,1
435,0,0
436,0,2
437,1,2
438,1,2
439,0,1
440,1,1
441,1,2
442,0,0
443,1,2
444,0,1
445,0,1
446,0,0
447,1,2
448,0,0
449,0,0
451,0,1
452,1,2
453,0,0
454,0,2
456,1,1
457,1,2
458,1,2
459,1,0
460,0,2
461,0,1
462,0,1
463,0,2
464,0,0
465,0,1
466,1,1
467,0,1
468,0,2
469,1,2
470,0,1
471,1,2
472,0,1
473,1,1
474,0,0
475,0,2
476,0,2
477,1,2
478,0,2
479,0,1
480,1,1
481,1,1
482,0,2
483,0,1
484,1,1
485,1,1
486,1,1
490,0,1
491,0,0
492,1,1
493,1,1
494,0,1
495,1,0
496,1,2
497,1,1
498,1,1
500,1,1
501,0,2
502,1,1
503,1,2
504,1,2
505,0,1
506,1,2
507,1,0
509,1,2
510,1,1
511,0,0
512,1,2
513,1,2
514,0,1
515,0,1
516,1,2
517,1,2
518,0,1
520,1,0
521,1,2
522,1,0
523,1,2
524,1,0
525,1,1
526,1,0
527,1,1
528,1,1
529,1,1
530,0,2
531,0,2
532,1,1
533,1,1
534,1,2
535,0,1
536,1,2
537,1,2
538,1,2
539,1,2
540,1,2
541,1,0
542,0,0
543,1,1
544,0,1
545,0,2
546,0,2
547,1,1
548,1,2
549,1,1
560,0,0
561,1,0
562,1,0
563,1,2
564,1,1
565,1,2
566,1,2
567,1,0
568,0,2
569,0,0
570,1,0
571,0,1
572,0,1
573,1,0
574,0,0
575,1,1
576,0,2
577,0,1
578,1,2
579,1,2
580,0,1
581,1,1
582,1,2
583,0,1
584,0,2
585,1,0
586,1,1
587,0,1
